Title,Author,Year,Journal,Abstract
A 1-V high-speed MTCMOS circuit scheme for power-down application circuits,S. Shigematsu;S. Mutoh;Y. Matsuya;Y. Tanabe;J. Yamada, 1997,IEEE Journal of Solid-State Circuits,"This paper proposes a new multithreshold-voltage CMOS circuit (MTCMOS) concept aimed at achieving high-speed, ultralow-power large-scale integrators (LSI's) for battery-driven portable equipment. The ""balloon"" circuit scheme based on this concept preserves data during the power-down period in which the power supply to the circuit is cut off in order to reduce the standby power. L..."
A 340 mV-to-0.9 V 20.2 Tb/s Source-Synchronous Hybrid Packet/Circuit-Switched 16 × 16 Network-on-Chip in 22 nm Tri-Gate CMOS,Gregory Chen;Mark A. Anders;Himanshu Kaul;Sudhir K. Satpathy;Sanu K. Mathew;Steven K. Hsu;Amit Agarwal;Ram K. Krishnamurthy;Vivek De;Shekhar Borkar, 2015,IEEE Journal of Solid-State Circuits,"A 16 × 16 mesh network-on-chip (NoC) is fabricated in 22 nm tri-gate CMOS for high-throughput, energy-efficient on-chip interconnect in multi-core processors and systems-on-chip. The NoC connects 256 nodes that are each in their own voltage and clock domain using 5-port routers and 112 b, 855 μm data links. Source-synchronous operation eliminates global clock distribution power and adapts to proce..."
Floating-body effects in partially depleted SOI CMOS circuits,Pong-Fei Lu;Ching-Te Chuang;Jin Ji;L.F. Wagner;Chang-Ming Hsieh;J.B. Kuang;L.L.-C. Hsu;M.M. Pelella;S.-F.S. Chu;C.J. Anderson, 1997,IEEE Journal of Solid-State Circuits,"This paper presents a detailed study on the impact of a floating body in partially depleted (PD) silicon-on-insulator (SOI) MOSFET's on various CMOS circuits. Digital very large scale integration (VLSI) CMOS circuit families including static and dynamic CMOS logic, static cascade voltage switch logic (static CVSL), and dynamic cascade voltage switch logic (dynamic CVSL) are investigate..."
Design and applications of tunable analog BiCMOS circuits,J. Fichtel;B.J. Hosticka;W. Schardein, 1992,IEEE Journal of Solid-State Circuits,"Discusses the design, merits, and applications of tunable BiCMOS circuits. Although the BiCMOS technology offers higher design flexibility due to the presence of more types of active devices than the standard CMOS or bipolar technologies, it is also costlier. Hence, its use can be justified only if the salient features of BiCMOS are taken advantage of adequately. The analysis discusses one p..."
"The state of the art of electrostatic discharge protection: physics, technology, circuits, design, simulation, and scaling",S.H. Voldman, 1999,IEEE Journal of Solid-State Circuits,"This paper discusses state-of-the-art electrostatic discharge (ESD) protection in advanced semiconductor technologies and emerging technologies. ESD physics, semiconductor process issues, device and circuit simulation, circuits, and devices are examined."
"Novel Process and Temperature-Stable, IDD Sensor for the BIST Design of Embedded Digital, Analog, and Mixed-Signal Circuits",John Liobe;Martin Margala, 2007,IEEE Transactions on Circuits and Systems I: Regular Papers,"This paper proposes a new IDD sensor for built-in self-test (BIST) applications for digital, analog, and mixed-signal circuits. This novel, wide-band, nonintrusive, process and temperature-stable IDD sensor operates up to 230 MHz, which is 2.3X faster than previously proposed designs, and occupies 78.3% less area than another competing design. A BIST utilizing this novel IDD sensor is create..."
Leakage effects in metal-connected floating-gate circuits,"I. StJohn
;R.M. Fox", 2006,IEEE Transactions on Circuits and Systems II: Express Briefs,"Floating-gate circuits are useful in many analog applications, although controlling the charge stored on floating gates complicates such circuits. It has been observed that when floating poly gates are connected to metal layers, initial charge is eliminated during fabrication. This Brief presents an alternative to a previously published explanation for this effect. Experiments show tha..."
"A Micropower
ΔΣ
\Delta\Sigma-Based Interface ASIC for a Capacitive 3-Axis Micro-Accelerometer",Matti Paavola;Mika Kamarainen;Erkka Laulainen;Mikko Saukoski;Lauri Koskinen;Marko Kosunen;Kari A. I. Halonen, 2009,IEEE Journal of Solid-State Circuits,"In this paper, a micropower interface IC for a capacitive 3-axis micro-accelerometer is presented. The IC is implemented in a 0.25-mum CMOS process. The fully-integrated sensor interface is based on a DeltaSigma sensor front-end that operates mechanically in an open-loop configuration and converts the acceleration signals directly into the digital domain, thus avoiding the use of separate analog-t..."
A direct-skew-detect synchronous mirror delay for application-specific integrated circuits,T. Saeki;K. Minami;H. Yoshida;H. Suzuki, 1999,IEEE Journal of Solid-State Circuits,"A nonfeedback CMOS digital-clock-generator, direct-skew-detect synchronous-mirror-delay (direct SMD) circuit has been developed that achieves clock-skew suppression in only two clock cycles for application-specific integrated circuits having unfixed and various clock paths. The direct SMD circuit detects both clock skew and clock cycle by using a direct-skew detector and clock-su..."
Circuit Reliability Comparison Between Stochastic Computing and Binary Computing,Zuodong Zhang;Runsheng Wang;Zhe Zhang;Yawen Zhang;Shaofeng Guo;Ru Huang, 2020,IEEE Transactions on Circuits and Systems II: Express Briefs,"Reliability-enhanced circuit design is increasingly demanded due to severer transistor aging and variations at nanoscale. In this brief, new insights of inherently enhancing reliability are presented, based on the emerging computing paradigm of stochastic computing (SC). A new cross-layer reliability simulation flow supporting statistical static timing analysis (SSTA) is proposed, with a new..."
